Timestamp,What is your gender?,What is your ethnicity?,What academic year are you?,What is your major?,"Student GPA? (If you don't know guestimate, ex. 3.5+)",After COVID did your GPA increase or decrease?,Number of units enrolled? ,Have you attended UCR prior to Spring Quarter 2020?,How do you feel about your progress in academics so far?,How is your school experience this academic year at UCR so far?,What advice would you give to other students that might help them receive a better school experience?,How many research or personal projects have you undertaken this academic school year? (not counting required class projects),How many hours do you spend per week participating in school clubs/organizations?,How many times have you visited office hours this academic year?,How many hours do you spend per week working on homework?,BEFORE COVID: Did you live on-campus or off-campus? ,"With no financial burden, where would you prefer to live?",Where do you plan on living when campus opens? (Assuming things go back to the way it was pre-covid),Do you prefer in-person or remote learning?,"In general, which of the following do you do during your online lectures? (You may select more than one)","On average, what percentage of your online lecture time do you spend playing video games? ","On average, what percentage of your online lecture time do you spend watching digital media  (i.e. Youtube, Netflix, Twitch, etc.)? ","On average, what percentage of your online lecture time do you spend on social media (i.e. Instagram, Facebook, TikTok, etc.)? ","What other activities, besides the ones mentioned above, are you doing during the duration of your lecture that is unrelated to the lecture (sleep, eat, work from another class, chores, etc.)?","In general, what is your attendance rate for your online lectures, including pre-recorded lectures?","If you missed something from the lecture, which of the following do you do?",How likely are you to respond to notifications you receive during your online lecture?,"In general, how would you rate your online learning experience?","If you could change one thing about online learning, what would it be?","What TIME do you go to bed, on average? (10pm, 1am, 5am, etc)",Average hours of sleep per night?,"STUDY SCHEDULE: What time to what time do you spend on school? (classes + homework) (Ex: 9am - 6pm, 10pm-12am, etc.)","GAMING/SOCIAL MEDIA SCHEDULE: What time to what time do you spend on gaming or social media? (this includes YouTube) (Ex: 8pm-10pm, 12am-3am, etc.)",Roughly how much time in hours is spent on school in total? (classes and homework) PRIOR SPRING QUARTER 2020,Roughly how much time in hours is spent on school in total? (classes and homework) DURING/AFTER SPRING QUARTER 2020,Roughly how much time is spent on gaming or social media per day? (this includes YouTube) ,Do you own a pet?,"If you own a pet, how many do you own?","If you do own a pet, what pet(s) do you own?",What type(s) of meat do you eat?,"If you DON'T eat at least one type of meat, why?",Have any of the following happened as a result of quarantine?,Were you diagnosed with depression before Spring Quarter 2020?,Were you diagnosed with depression after Spring Quarter 2020?,If you did have depression has it gotten worse over quarantine?,How often did you do physical activity outdoors DURING the pandemic?,How often did you do physical activity outdoors BEFORE the pandemic?,How likely you to go hiking or biking  BEFORE the pandemic?,How likely you to go hiking or biking DURING the pandemic?,How often you visited the gym before the pandemic?,Have you looked for new activities since the start of the pandemic?,Has your junk food consumption change? ,Did you have a job before the pandemic?,Do you have a job during the pandemic?,Which streaming services were you subscribed to before the pandemic?,Approximately how much have you spent on streaming services per month before the pandemic?,Did you personally pay for the whole subscription?,"If you did pay for the whole subscription, for which streaming services did you pay for (before the pandemic)?  If you did not pay for any services at all, please answer with ""None"".",Which streaming services are you subscribed to now?,Approximately how much have you spent on streaming services per month during the pandemic?,D0 you personally pay for the whole subscription?,"If you did pay for the whole subscription, for which streaming services did you pay for (after the pandemic)? If you did not pay for any services at all, please answer with ""None"".","Have you started watching more Netflix, Hulu, Disney+, etc.?"
1/28/2021 10:53:46,Female,White,Sophomore,CS,3.7 - 4.0,Decrease,4,Yes,,,,,,,,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture),"Answer polls/questions (when mandatory for participation credit), Answer questions (when not mandatory, in chat), Ask questions (in chat), Ask questions (verbally), Take notes",,,,work from another class,100,,1,3,More office hours,10pm,7,8am - 8pm,NA,9,10,NA,No,0,I still don't own a pet!,"Red Meat, Poultry, Seafood","I, in fact, DO eat meat!",Moved back in with parents,No,Yes,Yes,5 to 7 times a week,3 to 5 times a week,3,5,,,,No,No,None,I did not own any subscriptions,,,None,I do not own any subscriptions.,,,
1/30/2021 12:38:43,Male,Asian,Sophomore,Computer Science with Business Applications,3.3 - 3.69,Increase,13,Yes,3,I enjoyed it but it could have been better,"Go to office hours, join clubs!",1,2,3,30,UCR Dorms,Off-campus,Off - Campus Apartment,In-person (on-campus lecture),"Answer polls/questions (when mandatory for participation credit), Answer questions (when not mandatory, in chat), Ask questions (in chat), Take notes",1,3,2,Eating food,3,I tell myself that I will watch the recorded lectures,5,1,"More enthusiasm from the professors, it gets very monotone at times.",12pm,5,7am-12pm,12-1pm,30,40,1,No,0,I still don't own a pet!,I don't eat meat,"Health, Environmental/ Animal Rights, Personal Preference","Moved back in with parents, Lack of access to technology",No,No,No,5 to 7 times a week,5 to 7 times a week,5,2,5-7 times a week,Yes,Unchanged,No,Yes,Netflix,$10 or less,"No, I use a family member's account",Netflix,Netflix,$10 or less,"No, I use a family member's account",Netflix,1
1/30/2021 12:41:25,Male,Asian,Sophomore,CSBA,3.7 - 4.0,Same,4,Yes,5,I enjoyed it but it could have been better,"Write down all the important dates (HW due dates, midterms, finals) in a calendar and make sure you start studying for a test at least a week in advance. That way you will be able to cover everything in time without having to pull an all nighter.",1,3,5-10,5-10,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture),"Answer polls/questions (when mandatory for participation credit), Answer questions (when not mandatory, in chat), Ask questions (in chat)",1,2,2,"Eating, work from another class",4,I tell myself that I will watch the recorded lectures,3,2,Get me vaccinated so I can leave the house :),12am,7,All day with breaks in between,10pm-12am,7,5,4,No,0,I still don't own a pet!,I don't eat meat,"Personal Preference, Religious Beliefs",Moved back in with parents,No,No,No,none,3 to 5 times a week,3,1,3-5 times a week,Yes,Unchanged,No,No,None,I did not own any subscriptions,Don't have a subscription,None,None,I do not own any subscriptions.,Don't have a subscription,None,3
1/30/2021 12:46:31,Male,Asian,Sophomore,Computer Science,3.7 - 4.0,Decrease,16,Yes,3,It was okay,Try to make the most out of any situation. Most importantly join clubs and make friends to help you get through it.,0,2,10,7,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture),"Answer polls/questions (when mandatory for participation credit), Ask questions (in chat), Take notes",1,2,2,Work from another class,5,Both,5,3,Try to make it more interactive and attention-grabbing. ,11:30 PM,8,10 an - 10 pm,12 PM - 5 PM,30,40,3,Yes,1,Dog,"Red Meat, Poultry, Seafood","I, in fact, DO eat all types of meat!",Moved back in with parents,No,No,No,1 to 3 times a week,3 to 5 times a week,3,1,0-1 times a week,Yes,Improved,No,No,"Netflix, Hulu, Disney+",$21 to $30,"No, I use a family member's account","Hulu, Showtime","Netflix, Hulu, Disney+",$21 to $30,"No, I use a family member's account","Hulu, Showtime",4
1/30/2021 12:51:38,Female,Asian,Sophomore,Computer Science,3.3 - 3.69,Increase,12,Yes,5,I love it / I had a great time,Find a balance between school and friends,2,5,10,14,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture),"Answer polls/questions (when mandatory for participation credit), Turn on your camera (when not mandatory), Answer questions (when not mandatory, in chat), Answer questions (when not mandatory, verbally), Ask questions (in chat), Ask questions (verbally), Take notes",1,1,1,Instagram,5,I tell myself that I will watch the recorded lectures,3,4,more interactive,12am,8,8am - 6pm,4pm - 7pm,15,20,5,No,0,I still don't own a pet!,I don't eat meat,"Health, Environmental/ Animal Rights, Personal Preference, Religious Beliefs",Moved back in with parents,No,No,No,1 to 3 times a week,1 to 3 times a week,1,1,1-2 times a week,Yes,Improved,No,No,"Netflix, Hulu",$21 to $30,"No, I use a family member's account",None,None,I do not own any subscriptions.,"No, I use a family member's account",None,5
1/30/2021 13:11:26,Male,Asian,Sophomore,Computer Science,3.7 - 4.0,Same,18,Yes,4,I enjoyed it but it could have been better,Think about your purpose and stick to a process.,7,3,50,16,UCR Dorms,On-campus,Off - Campus Apartment,Combined (Online + on-campus),"Answer polls/questions (when mandatory for participation credit), Answer questions (when not mandatory, in chat), Answer questions (when not mandatory, verbally), Ask questions (in chat), Ask questions (verbally)",2,3,2,"eat, work from another class",5,Neither,4,4,group projects instead of tests = less cheating,12:30 AM,8,12PM - 10 PM,8PM - 10PM,500,500,3 hours,No,0,I still don't own a pet!,"Red Meat, Poultry, Seafood","I, in fact, DO eat all types of meat!","Caught Covid-19, Moved back in with parents",No,No,No,5 to 7 times a week,5 to 7 times a week,4,1,5-7 times a week,Yes,Gotten worse,No,No,Netflix,$10 or less,"No, I use a family member's account",None,Netflix,$10 or less,"No, I use a family member's account",None,2
1/30/2021 13:19:56,Female,White,Freshman,Neuroscience ,3.3 - 3.69,Decrease,20,No,4,I did not attend UCR last academic school year,Take your time to settle in.,Joined several clubs and organizations.,6-8,5-6,15-20,I wasn’t in UCR to begin with.,On-campus,UCR Dorms,In-person (on-campus lecture),"Answer polls/questions (when mandatory for participation credit), Turn on your camera (when not mandatory), Answer questions (when not mandatory, in chat), Answer questions (when not mandatory, verbally), Ask questions (in chat), Ask questions (verbally), Take notes",3,1,4,Tiktok,5,Both,4,4,"All of it, i’s rather in person if possible of course.",3am,5,7-8am to atleast 9-10pm,10pm-3am,0,670,1,No,0,I still don't own a pet!,"Red Meat, Poultry, Seafood",Personal Preference,None of the above,No,No,No,1 to 3 times a week,5 to 7 times a week,4,2,0-1 times a week,Yes,Gotten worse,No,No,"Netflix, Hulu, HBO Max",$21 to $30,My parents paid,None,"Netflix, Hulu, HBO Max",$21 to $30,Parents pay,None,5
1/30/2021 13:25:44,Male,Asian,Sophomore,CSBA,3.0 - 3.29,Increase,17,Yes,3,It wasn't very good,Find stuff to do outside of school cause that's where real memories are made,N/A,3,0,20,UCR Dorms,On-campus,On Campus Apartment,In-person (on-campus lecture),"Answer polls/questions (when mandatory for participation credit), Answer questions (when not mandatory, in chat)",2,2,3,daydreaming,4,Both,4,2,require cameras ,1am,7,9pm-12am ,"10am-12pm, 1am-2pm",40,35,3,No,0,I still don't own a pet!,I don't eat meat,Religious Beliefs,None of the above,No,No,Yes,3 to 5 times a week,3 to 5 times a week,4,3,1-2 times a week,Yes,Improved,No,Yes,"Netflix, Disney+",$11 to $20,"No, I use a family member's account",None,"Netflix, Disney+, Hotstar",$21 to $30,"No, I use a family member's account",None,4
1/30/2021 13:40:20,Female,Asian,Sophomore,Computer science ,3.7 - 4.0,Same,18,Yes,1,It was okay,N/A,2,4,5,24,UCR Dorms,Off-campus,On Campus Apartment,Combined (Online + on-campus),"Answer polls/questions (when mandatory for participation credit), Answer questions (when not mandatory, in chat), Ask questions (in chat), Take notes",1,2,1,"Eat, work from another class",5,I tell myself that I will watch the recorded lectures,4,2,"Change grade distribution to be less tests, more coursework",12am,8,11am-10pm,"10am-11am, 12:30pm-2pm, 10pm-12pm",8,10,4-5,No,0,I still don't own a pet!,"Red Meat, Poultry, Seafood",Environmental/ Animal Rights,Moved back in with parents,No,No,No,none,none,1,1,0-1 times a week,No,Gotten worse,No,No,Netflix,I did not own any subscriptions,"No, I use a family member's account",None,"Netflix, Hulu",I do not own any subscriptions.,Free trial and use family members account,None,4
1/30/2021 13:54:43,Male,Asian,Sophomore,Computer Science,3.7 - 4.0,Same,14,Yes,3,I enjoyed it but it could have been better,Take advantages of resources presented to you.,1,3,4,8,UCR Dorms,On-campus,On Campus Apartment,Combined (Online + on-campus),"Answer polls/questions (when mandatory for participation credit), Answer questions (when not mandatory, in chat), Ask questions (in chat), Take notes",1,1,4,"Sleeping, eating, cleaning my room",2,Both,4,2,Stop assigning so much homework/exams and focus on the content.,12:30 AM,7,10am-10 pm,all day ,50,105,7,No,0,I still don't own a pet!,Poultry,"Health, Environmental/ Animal Rights, Personal Preference, Religious Beliefs","Moved back in with parents, Lack of support system",No,No,No,5 to 7 times a week,1 to 3 times a week,4,1,1-2 times a week,Yes,Unchanged,No,No,None,I did not own any subscriptions,didn't have a subscription,None,Netflix,$10 or less,"No, I use a family member's account",None,5
